Synced to SGD on Sat Jul  8 00:51:38 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	original p	original r 	original c	
4	H	9	YIL022W	TIM44	protein translocase subunit TIM44|MPI1|MIM44|ISP45	Essential component of the TIM23 complex; tethers the import motor and regulatory factors (PAM complex) to the translocation channel (Tim23p-Tim17p core complex); TIM23 complex is short for the translocase of the inner mitochondrial membrane	protein targeting, mitochondrion organization, transmembrane transport	protein binding, bridging	membrane, mitochondrial envelope, mitochondrion, cytoplasm	14	D	5	-	
4	H	10	YBR091C	TIM12	MRS5	Essential protein of the inner mitochondrial membrane; peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins	protein targeting, mitochondrion organization, transmembrane transport	protein transporter activity, lipid binding, transmembrane transporter activity, ion binding	mitochondrion, membrane, mitochondrial envelope, cytoplasm	13	D	5	-	
4	H	11	YIL026C	IRR1	SCC3	Subunit of the cohesin complex; which is required for sister chromatid cohesion during mitosis and meiosis and interacts with centromeres and chromosome arms; relocalizes to the cytosol in response to hypoxia; essential for viability	mitotic cell cycle, organelle fission, chromosome segregation	chromatin binding	nucleus, chromosome, cytoplasm	14	D	6	-	
4	H	12	YBR102C	EXO84	exocyst subunit EXO84|USA3	Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate	RNA splicing, protein complex biogenesis, Golgi vesicle transport, exocytosis, mRNA processing	molecular_function	cell cortex, cellular bud, membrane, site of polarized growth, cytoplasm	13	D	6	-	
4	H	13	YIL031W	ULP2	SUMO protease ULP2|SMT4	Peptidase that deconjugates Smt3/SUMO-1 peptides from proteins; plays a role in chromosome cohesion at centromeric regions and recovery from checkpoint arrest induced by DNA damage or DNA replication defects; potential Cdc28p substrate; human homolog PML implicated in promyelocytic leukemia can partially complement yeast null mutant	peptidyl-amino acid modification, mitotic cell cycle, organelle fission, regulation of organelle organization, chromosome segregation, protein modification by small protein conjugation or removal, regulation of cell cycle	peptidase activity, hydrolase activity	nucleus	14	D	7	-	
4	H	14	YBR109C	CMD1	calmodulin|CaM	Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca2+ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin; binds to the Hog1p MAPK in response to hyperosmotic stress; potentiates membrane tubulation and constriction mediated by the Rvs161p-Rvs167p complex; human CALM1 or CALM2 functionally complement repression induced inviability	vacuole organization, protein targeting, cell budding, cytoskeleton organization, organelle fusion, membrane fusion, lipid metabolic process, conjugation, nuclear transport, nucleus organization, endocytosis	enzyme binding, ion binding	cytoskeleton, microtubule organizing center, cellular bud, site of polarized growth, cytoplasm	13	D	7	-	
4	H	15	BLANK	BLANK	-	-	-	-	-	14	D	8	-	
4	H	16	YBR142W	MAK5	putative ATP-dependent RNA helicase	Essential nucleolar protein; putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits	rRNA processing, ribosomal large subunit biogenesis	helicase activity, ATPase activity, hydrolase activity	nucleus, nucleolus	13	D	8	-	
4	H	17	YIL061C	SNP1	U1 snRNP complex subunit SNP1|U1-70K	Component of U1 snRNP required for mRNA splicing via spliceosome; substrate of the arginine methyltransferase Hmt1p; may interact with poly(A) polymerase to regulate polyadenylation; homolog of human U1 70K protein; protein abundance increases in response to DNA replication stress	RNA splicing, mRNA processing	RNA binding, mRNA binding	nucleus	14	D	9	-	
4	H	18	YBR143C	SUP45	translation termination factor eRF1|eRF1|SUP47|SUP1|SAL4	Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin; has a role in cytokinesis through interaction with Mlc1p	DNA-templated transcription, termination	RNA binding, translation factor activity, RNA binding	cytoplasm	13	D	9	-	
4	H	19	YIL075C	RPN2	proteasome regulatory particle base subunit RPN2|SEN3	Subunit of the 26S proteasome; substrate of the N-acetyltransferase Nat1p; protein abundance increases in response to DNA replication stress	proteolysis involved in cellular protein catabolic process, protein complex biogenesis	peptidase activity, protein binding, bridging, hydrolase activity	nucleus, cytoplasm	14	D	10	-	
4	H	20	YBR152W	SPP381	U4/U6-U5 snRNP complex subunit SPP381	mRNA splicing factor, component of U4/U6.U5 tri-snRNP; interacts genetically and physically with Prp38p; relocalizes to the cytosol in response to hypoxia	RNA splicing, mRNA processing	molecular_function	nucleus, cytoplasm	13	D	10	-	
4	H	21	YIL091C	UTP25	rRNA-binding ribosome biosynthesis protein UTP25	Nucleolar protein; required for 35S pre-RNA processing and 40S ribosomal subunit biogenesis	rRNA processing, ribosomal small subunit biogenesis	RNA binding, rRNA binding	nucleus, nucleolus	14	D	11	-	
4	H	22	YBR153W	RIB7	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase	Diaminohydroxyphoshoribosylaminopyrimidine deaminase; catalyzes the second step of the riboflavin biosynthesis pathway	vitamin metabolic process	oxidoreductase activity	cellular_component	13	D	11	-	
4	H	23	BLANK	BLANK	-	-	-	-	-	14	D	12	-	
4	H	24	YBR154C	RPB5	DNA-directed RNA polymerase core subunit RPB5|ABC27	RNA polymerase subunit ABC27; common to RNA polymerases I, II, and III; contacts DNA and affects transactivation	transcription from RNA polymerase I promoter, transcription from RNA polymerase III promoter, transcription from RNA polymerase II promoter	transferase activity, nucleotidyltransferase activity	nucleus, nucleolus	13	D	12	-	
4	I	1	blank	blank	-	-	-	-	-	16	E	1	-	
4	I	2	blank	blank	-	-	-	-	-	15	E	1	-	
4	I	3	blank	blank	-	-	-	-	-	16	E	2	-	
4	I	4	blank	blank	-	-	-	-	-	15	E	2	-	
4	I	5	blank	blank	-	-	-	-	-	16	E	3	-	
4	I	6	blank	blank	-	-	-	-	-	15	E	3	-	
4	I	7	blank	blank	-	-	-	-	-	16	E	4	-	
4	I	8	blank	blank	-	-	-	-	-	15	E	4	-	
4	I	9	blank	blank	-	-	-	-	-	16	E	5	-	
4	I	10	blank	blank	-	-	-	-	-	15	E	5	-	
4	I	11	blank	blank	-	-	-	-	-	16	E	6	-	
4	I	12	blank	blank	-	-	-	-	-	15	E	6	-	
4	I	13	blank	blank	-	-	-	-	-	16	E	7	-	
4	I	14	blank	blank	-	-	-	-	-	15	E	7	-	
4	I	15	blank	blank	-	-	-	-	-	16	E	8	-	
4	I	16	blank	blank	-	-	-	-	-	15	E	8	-	
4	I	17	blank	blank	-	-	-	-	-	16	E	9	-	
4	I	18	blank	blank	-	-	-	-	-	15	E	9	-	
4	I	19	blank	blank	-	-	-	-	-	16	E	10	-	
4	I	20	blank	blank	-	-	-	-	-	15	E	10	-	
4	I	21	blank	blank	-	-	-	-	-	16	E	11	-	
4	I	22	blank	blank	-	-	-	-	-	15	E	11	-	
4	I	23	blank	blank	-	-	-	-	-	16	E	12	-	
4	I	24	blank	blank	-	-	-	-	-	15	E	12	-	
4	J	1	YIL118W	RHO3	Rho family GTPase RHO3	Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity; GTPase activity positively regulated by the GTPase activating protein (GAP) Rgd1p	cytoskeleton organization, regulation of organelle organization, regulation of transport, exocytosis	GTPase activity, hydrolase activity, ion binding	cellular bud, membrane, cytoplasm, plasma membrane	14	E	1	-	
4	J	2	YBR155W	CNS1	HSP70/90 family co-chaperone CNS1	TPR-containing co-chaperone; binds both Hsp82p (Hsp90) and Ssa1p (Hsp70); stimulates ATPase activity of Ssa1p; ts mutants reduce Hsp82p function, overexpression suppresses phenotypes of HSP82 ts allele and cpr7 deletion; human homolog TTC4 complements yeast cns1 mutant	protein folding	other	cytoplasm	13	E	1	-	
4	J	3	YJL031C	BET4	Rab geranylgeranyltransferase BET4	Alpha subunit of Type II geranylgeranyltransferase; required for vesicular transport between the endoplasmic reticulum and the Golgi; provides a membrane attachment moiety to Rab-like proteins Ypt1p and Sec4p	Golgi vesicle transport, protein targeting	transferase activity	cytoplasm	14	E	2	-	
4	J	4	YBR160W	CDC28	cyclin-dependent serine/threonine-protein kinase CDC28|SRM5|HSL5|CDK1	Cyclin-dependent kinase (CDK) catalytic subunit; master regulator of mitotic and meiotic cell cycles; alternately associates with G1, S, G2/M phase cyclins, which provide substrate specificity; regulates metabolism, basal transcription, chromosome dynamics, growth and morphogenesis; transcript induction in osmostress involves antisense RNA; human homologs CDK1, CDK2, CDK3 can complement yeast conditional cdc28 mutants; human CDK1, CDK2 can complement yeast cdc28 null mutant	peptidyl-amino acid modification, organelle fission, chromatin organization, DNA replication, cytoskeleton organization, lipid metabolic process, DNA recombination, mRNA processing, protein phosphorylation, regulation of organelle organization, cellular response to DNA damage stimulus, chromosome segregation, regulation of DNA metabolic process, meiotic cell cycle, mitotic cell cycle, generation of precursor metabolites and energy, transcription from RNA polymerase II promoter, DNA repair, carbohydrate metabolic process, telomere organization, cell budding, organelle assembly, regulation of cell cycle, oligosaccharide metabolic process	enzyme binding, kinase activity, transferase activity, histone binding	nucleus, microtubule organizing center, cellular bud, cytoplasm, cytoskeleton, ribosome, endomembrane system, site of polarized growth, endoplasmic reticulum	13	E	2	-	
4	J	5	YJL085W	EXO70	GTP-Rho binding exocyst subunit EXO70	Subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis prior to SNARE-mediated fusion; PtdIns[4,5]P2-binding protein that localizes to exocytic sites in an actin-independent manner, targeting and anchoring the exocyst with Sec3p; involved in exocyst assembly; direct downstream effector of Rho3p and Cdc42p; relocalizes from bud neck to cytoplasm upon DNA replication stress	protein complex biogenesis, Golgi vesicle transport, exocytosis, signaling	lipid binding, enzyme binding, ion binding	cell cortex, cellular bud, membrane, site of polarized growth, cytoplasm, plasma membrane	14	E	3	-	
4	J	6	YBR167C	POP7	ribonuclease P/MRP protein subunit POP7|RPP2	Subunit of RNase MRP, nuclear RNase P and telomerase; forms a soluble heterodimer with Pop6p that binds P3 domain of RNase MRP and RNase P RNAs; RNase MRP cleaves pre-rRNA, nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs, while telomerase replenishes telomeric DNA	snoRNA processing, rRNA processing, RNA catabolic process, tRNA processing	RNA binding, hydrolase activity, nuclease activity	nucleus, nucleolus	13	E	3	-	
4	J	7	BLANK	BLANK	-	-	-	-	-	14	E	4	-	
4	J	8	YBR192W	RIM2	PYT1	Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family	mitochondrion organization, transmembrane transport, ion transport, nucleobase-containing compound transport	transmembrane transporter activity	mitochondrion, membrane, cytoplasm	13	E	4	-	
4	J	9	BLANK	BLANK	-	-	-	-	-	14	E	5	-	
4	J	10	YBR202W	MCM7	mini-chromosome maintenance complex protein 7|CDC47	Component of the Mcm2-7 hexameric helicase complex; MCM2-7 primes origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation in S-phase; forms an Mcm4p-6p-7p subcomplex	DNA repair, chromatin organization, DNA replication, cellular response to DNA damage stimulus, DNA recombination	chromatin binding, hydrolase activity, DNA binding, ion binding, ATPase activity, helicase activity	nucleus, chromosome, cytoplasm	13	E	5	-	
4	J	11	YJR002W	MPP10	rRNA-processing protein MPP10	Component of the SSU processome and 90S preribosome; required for pre-18S rRNA processing, interacts with and controls the stability of Imp3p and Imp4p, essential for viability; similar to human Mpp10p	rRNA processing, ribosomal small subunit biogenesis	molecular_function	nucleus, nucleolus	14	E	6	-	
4	J	12	YBR211C	AME1	ARP100	Essential kinetochore protein associated with microtubules and SPBs; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-U and fission yeast Mis17; relative distribution to the nucleus increases upon DNA replication stress	chromosome segregation	molecular_function	nucleus, cytoskeleton, microtubule organizing center, chromosome, cytoplasm	13	E	6	-	
4	J	13	YJR042W	NUP85	RAT9	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis and is involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP85 aka NUP75	protein targeting, ribosomal subunit export from nucleus, nucleobase-containing compound transport, nuclear transport, nucleus organization	structural molecule activity	nucleus, endomembrane system, membrane	14	E	7	-	
4	J	14	YBR234C	ARC40	-	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches	cytoskeleton organization, regulation of organelle organization, protein complex biogenesis	ubiquitin-like protein binding	cytoskeleton	13	E	7	-	
4	J	15	YJR045C	SSC1	Hsp70 family ATPase SSC1|mtHSP70|ENS1	Hsp70 family ATPase; constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease; SSC1 has a paralog, ECM10, that arose from the whole genome duplication	protein targeting, mitochondrion organization, transmembrane transport, protein folding, regulation of DNA metabolic process	hydrolase activity, enzyme regulator activity, ATPase activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	14	E	8	-	
4	J	16	YBR236C	ABD1	mRNA (guanine-N7)-methyltransferase	Methyltransferase; catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA; nuclear protein that relocalizes to the cytosol in response to hypoxia	mRNA processing	transferase activity, methyltransferase activity	nucleus, cytoplasm	13	E	8	-	
4	J	17	YJR046W	TAH11	CDT1|SID2	DNA replication licensing factor; required for pre-replication complex assembly	DNA repair, DNA replication, cellular response to DNA damage stimulus, DNA recombination, regulation of DNA metabolic process	not_yet_annotated	nucleus, cytoplasm	14	E	9	-	
4	J	18	YBR237W	PRP5	DEAD-box RNA helicase PRP5|RNA5	RNA helicase in the DEAD-box family; necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA	RNA splicing, mRNA processing	ATPase activity, hydrolase activity	nucleus	13	E	9	-	
4	J	19	YJR057W	CDC8	bifunctional thymidylate/uridylate kinase	Thymidylate and uridylate kinase; functions in de novo biosynthesis of pyrimidine deoxyribonucleotides; converts dTMP to dTDP and dUMP to dUTP; essential for mitotic and meiotic DNA replication; homologous to S. pombe tmp1; human homolog DTYMK can complement yeast cdc8 null mutant	nucleobase-containing small molecule metabolic process	kinase activity, transferase activity	nucleus, cytoplasm	14	E	10	-	
4	J	20	YBR243C	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase|TUR1	UDP-N-acetyl-glucosamine-1-P transferase; transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin; human homolog DPAGT1 can complement yeast ALG7 mutant	protein glycosylation, generation of precursor metabolites and energy, cellular respiration	transferase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	13	E	10	-	
4	J	21	YJR068W	RFC2	replication factor C subunit 2	Subunit of heteropentameric Replication factor C (RF-C); RF-C is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	DNA repair, DNA replication, cellular response to DNA damage stimulus, chromosome segregation, regulation of cell cycle	hydrolase activity, DNA binding, ATPase activity	nucleus, chromosome	14	E	11	-	
4	J	22	YBR252W	DUT1	bifunctional dITP/dUTP diphosphatase	Deoxyuridine triphosphate diphosphatase (dUTPase); catalyzes hydrolysis of dUTP to dUMP and PPi, thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability; also has diphosphatase activity on deoxyinosine triphosphate; human homolog DUT allows growth of yeast haploid dut1 null mutant after sporulation of heterozygous diploid	nucleobase-containing small molecule metabolic process	hydrolase activity	nucleus, cytoplasm	13	E	11	-	
4	J	23	YJR072C	NPA3	GTPase NPA3|GPN1|EPA1	Member of the conserved GPN-loop GTPase family; has a role in transport of RNA polymerase II to the nucleus; exhibits GTP-dependent binding to PolII; has ATPase activity; involved in sister chromatid cohesion; phosphorylated by the Pcl1p-Pho85p kinase complex; human homolog XAB1 interacts with human RNA polymerase II; protein abundance increases in response to DNA replication stress	mitotic cell cycle, protein targeting, organelle fission, chromosome segregation, nuclear transport	GTPase activity, hydrolase activity, ATPase activity	nucleus, cytoplasm	14	E	12	-	
4	J	24	YBR256C	RIB5	riboflavin synthase	Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway	vitamin metabolic process	transferase activity	cellular_component	13	E	12	-	
4	K	1	blank	blank	-	-	-	-	-	16	F	1	-	
4	K	2	blank	blank	-	-	-	-	-	15	F	1	-	
4	K	3	blank	blank	-	-	-	-	-	16	F	2	-	
4	K	4	blank	blank	-	-	-	-	-	15	F	2	-	
4	K	5	blank	blank	-	-	-	-	-	16	F	3	-	
4	K	6	blank	blank	-	-	-	-	-	15	F	3	-	
4	K	7	blank	blank	-	-	-	-	-	16	F	4	-	
4	K	8	blank	blank	-	-	-	-	-	15	F	4	-	
4	K	9	blank	blank	-	-	-	-	-	16	F	5	-	
4	K	10	blank	blank	-	-	-	-	-	15	F	5	-	
4	K	11	blank	blank	-	-	-	-	-	16	F	6	-	
4	K	12	blank	blank	-	-	-	-	-	15	F	6	-	
4	K	13	blank	blank	-	-	-	-	-	16	F	7	-	
4	K	14	blank	blank	-	-	-	-	-	15	F	7	-	
4	K	15	blank	blank	-	-	-	-	-	16	F	8	-	
4	K	16	blank	blank	-	-	-	-	-	15	F	8	-	
4	K	17	blank	blank	-	-	-	-	-	16	F	9	-	
4	K	18	blank	blank	-	-	-	-	-	15	F	9	-	
4	K	19	blank	blank	-	-	-	-	-	16	F	10	-	
4	K	20	blank	blank	-	-	-	-	-	15	F	10	-	
4	K	21	blank	blank	-	-	-	-	-	16	F	11	-	
4	K	22	blank	blank	-	-	-	-	-	15	F	11	-	
4	K	23	blank	blank	-	-	-	-	-	16	F	12	-	
4	K	24	blank	blank	-	-	-	-	-	15	F	12	-	
4	L	1	YJR076C	CDC11	septin CDC11|PSL9	Component of the septin ring that is required for cytokinesis; present at the ends of rod-like septin hetero-oligomers; C-terminal extension is important for recruitment of Bni5p to the mother-bud neck, which in turn is required for Myo1p recruitment and cytokinesis; septin rings at the mother-bud neck act as scaffolds for recruiting cell division factors and as barriers to prevent diffusion of specific proteins between mother and daughter cells	mitotic cell cycle, protein phosphorylation, cytokinesis, regulation of protein modification process	lipid binding, structural molecule activity, ion binding	cell cortex, cytoskeleton, cell wall, cellular bud, membrane, site of polarized growth, cytoplasm	14	F	1	-	
4	L	2	YCL017C	NFS1	SPL1	Cysteine desulfurase; involved in iron-sulfur cluster (Fe/S) biogenesis and in thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria	cofactor metabolic process, mitochondrion organization, cellular ion homeostasis, tRNA processing, RNA modification	transferase activity	nucleus, mitochondrion, cytoplasm	13	F	1	-	
4	L	3	YLR078C	BOS1	SEC32	v-SNARE (vesicle specific SNAP receptor); localized to the endoplasmic reticulum membrane and necessary for vesicular transport from the ER to the Golgi; required for efficient nuclear fusion during mating	organelle fusion, vesicle organization, Golgi vesicle transport, membrane fusion	other	cytoplasmic vesicle, endomembrane system, membrane, endoplasmic reticulum, cytoplasm	14	F	2	-	
4	L	4	YCL031C	RRP7	-	Essential protein involved in rRNA processing and ribosome biogenesis; protein abundance increases in response to DNA replication stress	ribosome assembly, rRNA processing, organelle assembly, ribosomal small subunit biogenesis	molecular_function	nucleus, nucleolus	13	F	2	-	
4	L	5	YLR103C	CDC45	DNA replication initiation factor CDC45|SLD4	DNA replication initiation factor; recruited to MCM pre-RC complexes at replication origins; promotes release of MCM from Mcm10p, recruits elongation machinery; binds tightly to ssDNA, which disrupts interaction with the MCM helicase and stalls it during replication stress; mutants in human homolog may cause velocardiofacial and DiGeorge syndromes	DNA repair, chromatin organization, DNA replication, cellular response to DNA damage stimulus, DNA recombination	chromatin binding, DNA binding	nucleus, chromosome	14	F	3	-	
4	L	6	YCL041C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps both the verified gene PDI1/YCL043C and the uncharacterized gene YCL042W	biological_process	molecular_function	membrane	13	F	3	-	
4	L	7	YLR117C	CLF1	NTC77|SYF3	Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; homolog of Drosophila crooked neck protein; interacts with U1 snRNP proteins	RNA splicing, DNA replication, mRNA processing	chromatin binding, DNA binding	nucleus, chromosome	14	F	4	-	
4	L	8	YCL043C	PDI1	protein disulfide isomerase PDI1|TRG1|MFP1	Protein disulfide isomerase; multifunctional oxidoreductase of the ER lumen, essential for disulfide bond formation in secretory and cell-surface proteins, processing of non-native disulfide bonds; Ero1p activator; complexes with exomannosidase, Mnl1p to facilitate the recognition of misfolded glycoproteins and the trimming of glycan Man8GlcNAc2 to Man7GlcNAc2 on substrates, thereby accelerating ERAD; PDI1 has a paralog, EUG1, that arose from the whole genome duplication	response to chemical, protein folding	unfolded protein binding, isomerase activity, oxidoreductase activity	endomembrane system, endoplasmic reticulum, cytoplasm	13	F	4	-	
4	L	9	YLR153C	ACS2	acetate--CoA ligase ACS2	Acetyl-coA synthetase isoform; along with Acs1p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions	peptidyl-amino acid modification, protein acylation, cofactor metabolic process, chromatin organization, histone modification	ligase activity	nucleus, nucleolus, cytoplasm	14	F	5	-	
4	L	10	YCL052C	PBN1	-	Component of glycosylphosphatidylinositol-mannosyltransferase I; essential component; required for the autocatalytic post-translational processing of the protease B precursor Prb1p; localizes to ER in lumenal orientation; homolog of mammalian PIG-X	response to chemical, proteolysis involved in cellular protein catabolic process, protein maturation, lipid metabolic process, protein lipidation	transferase activity, transferring glycosyl groups, transferase activity	endomembrane system, endoplasmic reticulum, cytoplasm	13	F	5	-	
4	L	11	YLR167W	RPS31	eS31|ubiquitin-ribosomal 40S subunit protein S31 fusion protein|S31e|UB13|YS24|S37|S31|UBI3|RPS37	Fusion protein cleaved to yield ribosomal protein S31 and ubiquitin; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; interacts genetically with translation factor eIF2B; homologous to mammalian ribosomal protein S27A, no bacterial homolog	cytoplasmic translation, rRNA processing, organelle assembly, ribosomal small subunit biogenesis, ribosome assembly	structural constituent of ribosome, structural molecule activity	ribosome, cytoplasm	14	F	6	-	
4	L	12	YCL054W	SPB1	27S pre-rRNA (guanosine2922-2'-O)-methyltransferase	AdoMet-dependent methyltransferase; involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52, U2921; suppressor of PAB1 mutants	rRNA processing, ribosomal large subunit biogenesis, RNA modification	transferase activity, methyltransferase activity	nucleus, nucleolus	13	F	6	-	
4	L	13	BLANK	BLANK	-	-	-	-	-	14	F	7	-	
4	L	14	YCR057C	PWP2	snoRNA-binding rRNA-processing protein PWP2|UTP1|YCR058C|YCR055C	Conserved 90S pre-ribosomal component; essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis	rRNA processing, ribosomal small subunit biogenesis	RNA binding, mRNA binding	nucleus, nucleolus, cytoplasm	13	F	7	-	
4	L	15	YLR195C	NMT1	glycylpeptide N-tetradecanoyltransferase NMT1|CDC72	N-myristoyl transferase; catalyzes the cotranslational, covalent attachment of myristic acid to the N-terminal glycine residue of several proteins involved in cellular growth and signal transduction	peptidyl-amino acid modification, protein acylation, protein lipidation	transferase activity	cytoplasm	14	F	8	-	
4	L	16	YCR072C	RSA4	-	WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus	ribosome assembly, organelle assembly, ribosomal large subunit biogenesis	molecular_function	nucleus, nucleolus, ribosome, cytoplasm	13	F	8	-	
4	L	17	YLR198C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene SIK1/YLR197W	biological_process	molecular_function	cellular_component	14	F	9	-	
4	L	18	YCR093W	CDC39	CCR4-NOT core subunit CDC39|SMD6|ROS1|NOT1	Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p, resulting in processing body disassembly	response to chemical, regulation of organelle organization, organelle assembly, RNA catabolic process, conjugation, pseudohyphal growth, transcription from RNA polymerase II promoter, regulation of cell cycle, DNA-templated transcription, elongation	enzyme regulator activity	nucleus, cytoplasm	13	F	9	-	
4	L	19	YLR222C	UTP13	-	Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA	rRNA processing, ribosomal small subunit biogenesis	RNA binding	nucleus, nucleolus	14	F	10	-	
4	L	20	YDL003W	MCD1	kleisin alpha|SCC1|RHC21|PDS3	Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis and meiosis; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase	mitotic cell cycle, DNA repair, organelle fission, DNA replication, cellular response to DNA damage stimulus, chromosome segregation, DNA recombination	chromatin binding	nucleus, chromosome, mitochondrion, cytoplasm	13	F	10	-	
4	L	21	YLR223C	IFH1	-	Coactivator, regulates transcription of ribosomal protein (RP) genes; recruited to RP gene promoters during optimal growth conditions via Fhl1p; subunit of CURI, a complex that coordinates RP production and pre-rRNA processing; regulated by acetylation and phosphorylation at different growth states via TORC1 signaling; IFH1 has a paralog, CRF1, that arose from the whole genome duplication	chromatin organization, transcription from RNA polymerase II promoter	transcription factor activity, protein binding	nucleus, nucleolus, chromosome	14	F	11	-	
4	L	22	YDL004W	ATP16	F1F0 ATP synthase subunit delta	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated	transmembrane transport, ion transport, nucleobase-containing small molecule metabolic process	hydrolase activity, transmembrane transporter activity, ATPase activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	13	F	11	-	
4	L	23	YLR249W	YEF3	translation elongation factor EF-3|EF-3|eEF3|TEF3	Translation elongation factor 3; contains two ABC cassettes; binds and hydrolyzes ATP; YEF3 has a paralog, HEF3, that arose from the whole genome duplication	translational elongation	RNA binding, translation factor activity, RNA binding, ATPase activity, hydrolase activity	ribosome, cytoplasm	14	F	12	-	
